Course_Name,Level,Rating,Skills,Number of students,Platform
Databricks: Large Language Models: Foundation Models from the Ground Up,2,4.671710515,"Decision Making, Transfer Learning, Natural Language Processing",7189,EdX
SNHUx: Structured Database Environments with SQL,0,4.671710515,"Data Store, Relational Database Management Systems, Scalability, Troubleshooting (Problem Solving), Database Management, Scalability Design, Python (Programming Language), SQL (Programming Language), Database Design, Business Intelligence, Data Management, Data Engineering, Foreign Keys, Data Analysis, MySQL, Dataset, Relational Model, Data Manipulation",159462,EdX
IBM: Data Engineering Capstone Project,0,4.671710515,"Apache Airflow, Python (Programming Language), Data Collection, Bash (Scripting Language), Data Warehousing, NoSQL, Business Intelligence, Machine Learning, Relational Databases, MySQL, Relational Database Management Systems, IBM DB2, Big Data, PostgreSQL, Data Engineering, SQL (Programming Language), Predictive Analytics, Apache Spark, MongoDB, Extract Transform Load (ETL)",151755,EdX
ColumbiaX: Analytics in Python,1,4.671710515,"Big Data, Data Acquisition, Python (Programming Language), Data Management",144568,EdX
IBM: Relational Database Administration (DBA),0,4.671710515,"Troubleshooting (Problem Solving), Database Administration, MySQL, SQL (Programming Language), Backup Devices, Automation, Database Security, PostgreSQL, Relational Databases",156479,EdX
IBM: Relational Database Basics,0,4.4,"MySQL, SQL (Programming Language), IBM DB2, Relational Database Design, Relational Database Management Systems, PostgreSQL, Relational Databases",6680,EdX
URosarioX: Diseño de Sistemas de información gerencial para Internet con MySQL / PHP y Joomla,1,4.671710515,"Content Management, Relational Databases, Information Systems, Management Information Systems, MySQL, Microsoft Access, PHP (Scripting Language), Joomla (Content Management System), Customer Relationship Management, Management, Mobile Phones",152101,EdX
IBM: Introduction to SQL,0,4.5,"Communications, Data Engineering, MySQL, SQL (Programming Language), Data Analysis, IBM DB2, Nested Queries, PostgreSQL, Data Manipulation, Relational Database Management Systems, Relational Databases, Microsoft Access, Data Science, Operations, Oracle SQL Developer, Database Systems",34979,EdX
HarvardX: CS50's Introduction to Databases with SQL,0,4.671710515,"Foreign Keys, Relational Databases, Java (Programming Language), MySQL, SQL (Programming Language), PostgreSQL, Data Store, Python (Programming Language), SQLite, Scalability",28977,EdX
IBM: Guided Project: Get Started with MySQL database,0,4.671710515,"Software Engineering, MySQL, Server-Side, Database Management Systems, Full Stack Development, Command-Line Interface",143844,EdX
"JuranX: Lean Six Sigma Black Belt Certification Part 1: Basic Improvement, Define and Measure",1,4.2,"Lean Six Sigma Black Belt, Lean Six Sigma",159855,EdX
TUMx: Six Sigma Part 1: Define and Measure,0,4.5,"Lean Six Sigma Green Belt, Define Measure Analyze Improve And Control (DMAIC), Six Sigma Yellow Belt, Six Sigma Green Belt Certification, Quality Management, Lean Manufacturing, Six Sigma Methodology, Quality Improvement, Lean Six Sigma, Process Improvement",128697,EdX
"TUMx: Six Sigma Part 2: Analyze, Improve, Control",0,4.8,"Lean Six Sigma Green Belt, Control Chart, Six Sigma Yellow Belt, Quality Improvement, Six Sigma Green Belt Certification, Design For Six Sigma, Confidence Intervals, Quality Management, Lean Manufacturing, Six Sigma Methodology, Statistics, Eight Disciplines Problem Solving (8D), Lean Six Sigma, Statistical Process Controls",84613,EdX
HarvardX: Introduction to Linear Models and Matrix Algebra,1,4.671710515,"Algebra, Functional Genomics, Life Sciences, R (Programming Language), Experimental Design, Statistical Inference, Matrix Algebra, Linear Model, Data Analysis, Statistics, Software Engineering, Bioconductor (Bioinformatics Software), Biology, Data Warehousing",115498,EdX
PurdueX: Pretensioned Structures,2,4.671710515,"Calculus, Numerical Analysis, Civil Engineering, Differential Equations, Building Codes, Data Manipulation, Statistical Analysis, Reinforced Concrete, Structural Systems, Structural Engineering",157429,EdX
"IITBombayX: Signals and Systems, Part 2",1,4.671710515,"Electrical Engineering, Signal Processing, Statistical Signal Processing, Control Systems, Laplace Transform, Electroencephalography, Computer Control Systems, Speech Recognition Software, Fourier Transform, Electric Power Systems, Telecommunications, Digital Signal Processing",155779,EdX
IBM: Guided Project: Get Started with Data Science in Agriculture,1,4.671710515,"Data Visualization, Data-Driven Decision-Making, Soil Science, Agriculture, Data Science, Data Analysis, Web Browsers, Pandas (Python Package), Seaborn, Statistical Analysis, Python (Programming Language), Python Tools For Visual Studio, Trend Line",155039,EdX
GeorgetownX: Impact Evaluation Methods with Applications in Low- and Middle-Income Countries,0,4.8,"Agriculture, Quick Learning, Innovation, Human Development, Health Education, Microfinance",143280,EdX
"IITBombayX: Signals and Systems, Part 1",1,4.671710515,"Electrical Engineering, Editing, Signal Processing, Statistical Signal Processing, Control Systems, Laplace Transform, Electroencephalography, Computer Control Systems, Speech Recognition Software, Fourier Transform, Electric Power Systems, Telecommunications, Digital Signal Processing",142651,EdX
MichiganX: Introduction to Data Analytics for Managers,0,4.671710515,"Machine Learning, Big Data, SQL (Programming Language), Business Case, Data Analysis, Data Science, Development Environment, Microsoft Azure, Analytical Techniques",148898,EdX
IIMBx: Applied Bayesian for Analytics,0,4.671710515,"Statistical Modeling, Statistics, Openbugs, Monte Carlo Methods, Bayesian Modeling",151399,EdX
WBGx: Evaluating Impact in Low- and Middle-Income Countries,0,4.7,"Agriculture, Quick Learning, Innovation, Health Education, Microfinance, Randomized Controlled Trial, Human Development",158414,EdX
HarvardX: Case Studies in Functional Genomics,2,4.671710515,"Functional Genomics, Ribonucleic Acid Sequencing, Quality Control, Life Sciences, R (Programming Language), DNA Methylation, Open-Source Software, Exploratory Data Analysis, Matrix Algebra, Statistical Inference, Linear Model, Data Analysis, Statistics, Software Engineering, Bioconductor (Bioinformatics Software), Experimentation, Biology, Data Warehousing",42122,EdX
HarvardX: Statistics and R,1,4,"Functional Genomics, Confidence Intervals, Life Sciences, R (Programming Language), Descriptive Statistics, Statistical Inference, Matrix Algebra, Linear Model, Statistical Analysis, Data Analysis, Statistics, Software Engineering, Bioconductor (Bioinformatics Software), Biology, Data Warehousing",448417,EdX
HarvardX: Statistical Inference and Modeling for High-throughput Experiments,1,4.671710515,"Functional Genomics, Next-Generation Sequencing, Maximum Likelihood, Linear Model, Matrix Algebra, Software Engineering, Bioconductor (Bioinformatics Software), Exploratory Data Analysis, Data Warehousing, DNA Sequencing, Life Sciences, R (Programming Language), Bayesian Statistics, Statistics, Research, Statistical Modeling, Statistical Inference, Data Analysis, Biology",63621,EdX
StanfordOnline: R Programming Fundamentals,0,4.6,"Computational Statistics, R (Programming Language)",35104,EdX
TecdeMonterreyX: Introduction to Data Science and Basic Statistics for Business,2,4.671710515,"Data Science, Big Data, Business Technologies, Statistical Methods, Statistics, Probability Distribution, Decision Making",153786,EdX
LSE: Statistics 1 Part 2: Statistical Methods,1,4.671710515,"Contingency Tables, Linear Regression, Basic Math, Statistics, Economics, Management, Sampling Design, Statistical Hypothesis Testing, Chi-Squared Tests, Statistical Methods, Social Sciences",151737,EdX
StellenboschX: People analytics and reporting,1,4.6,"Intangible Assets, Performance Management, Decision Making, Human Capital, Systems Of Measurement, People Management, Data Collection, Dashboard",158374,EdX
"LSE: Statistics 1 Part 1: Introductory statistics, probability and estimation",1,4.3,"Probability, Basic Math, Statistics, Economics, Social Sciences, Sampling (Statistics), Management, Probability Theories, Data Visualization, Statistical Methods, Normal Distribution",7216,EdX
UTokyoX: Basic Analytical Chemistry,0,4.671710515,"Analytical Techniques, Analytical Chemistry, Environmental Science, Life Sciences, Geochemistry, Chemistry",33263,EdX
AdelaideX: Big Data Analytics,1,4.671710515,"Big Data, Creativity, Statistical Modeling, Analytic Applications, Big Data Analytics, Data Analysis, Data Science, Apache Spark",50290,EdX
UTMBx: Biostatistics for Big Data Applications,0,4.671710515,"Population Health, Statistical Software, Big Data, Data Analysis, Statistical Theory, Biostatistics",143521,EdX
MITx: The Analytics Edge,1,4.671710515,"Logistic Regression, Statistical Software, Linear Regression, Text Mining",159809,EdX
DelftX: Statistics,1,4.671710515,"Basic Math, Machine Learning, Statistical Inference, Descriptive Statistics, Statistical Software, R (Programming Language), Data Science",147730,EdX
SNHUx: Scripting with Python,0,4.671710515,"File Handling, Scripting, Programming Concepts, Regular Expressions, Applied Statistics, Full Stack Development, Artificial Intelligence, User Interface, Machine Learning, Data Science, Syntax, SQL (Programming Language), Data Mining, Automation, Integrated Development Environments, Web Pages, Flowcharts, Python (Programming Language), Data Management, Business Analytics",144230,EdX
"UMD, USMx: Effecting Digital Transformation with  Data Analytics Projects",0,4.671710515,"Customer Service, Disciplined Agile Delivery, Organizational Change, Customer Experience, Digital Transformation, Organizational Leadership, Data Analysis, Lean Startup Methodology, Graph Database, Python (Programming Language), Agile Methodology, Solution Delivery, Data Transformation, R (Programming Language), Digital Media Strategy",157728,EdX
"UMD, USMx: Generating Vision: Long-Term Big Ideas That Motivate Employees and Stakeholders",0,4.671710515,"Ideation, Visionary, Brainstorming, Artificial Intelligence, Business Strategies, Management, Planning, Product Roadmaps, Scenario Planning",155957,EdX
"StellenboschX: Diversity, Equity and Inclusion (DEI) in the Workplace",1,4.6,"Emotional Intelligence, Diversity Management, Creativity, Innovation",156586,EdX
LinuxFoundationX: Ethics in AI and Data Science,0,4,"Accountability, Data Science, Data Analysis, Leadership, Ethical Principles, Artificial Intelligence, Emerging Technologies, Biology",10644,EdX
LinuxFoundationX: Data and AI Fundamentals,0,4.671710515,"Voice Assistant Technology, Linux, Finance, Smartphone Operation, Data Science, Natural Language Processing, Supply Chain, Forecasting, Artificial Intelligence, Innovation, Machine Learning, Data-Driven Decision-Making",141959,EdX
ACCA: Machine learning with Python for finance professionals,1,3.9,"Business Strategies, Association Of Chartered Certified Accountants, Jupyter, Finance, Python (Programming Language), Machine Learning, Customer Service, Financial Technology (FinTech)",16577,EdX
HKPolyUx: Knowledge Management and Big Data in Business,0,4.3,"Knowledge Management, Data Analysis, Social Sciences, Business Modeling, Management, Reasoning Systems, Service Design, Social Issue, Big Data, Cloud Computing, Physical Science, Artificial Intelligence",73806,EdX
WageningenX: Big Data for Agri-Food: Principles and Tools,1,4.671710515,"Data Science, Machine Learning, Apache Spark, Pesticides, Animal Science, Hadoop Distributed File System (HDFS), Decision Making, Research, Precision Agriculture, Scalability, Deep Learning, MapReduce, Innovation, Foods, Soil Science, Apache Hadoop, Management, Computer Science, Artificial Intelligence, Written Composition, Data Management, Big Data, Python (Programming Language), Information Technology, Data Collection, Agriculture, Data Processing, Immutability, Fertilizers",148379,EdX
"USMx, UMD: Creating Innovative Business Models",0,4.7,"Innovation, Marketing Strategies, Value Propositions, Financial Modeling, Financial Strategy",26402,EdX
"UMD, USMx: Digital Marketing Analytics: Tools and Techniques",0,4.6,"Data-Driven Decision-Making, Marketing, Contextual Advertising, Artificial Intelligence, Digital Marketing, Machine Learning, Data Analysis, Surveys, Customer Data Management, Search Engine Optimization, Big Data, Analytics, Universal Testing Machines, Analytical Skills, Web Analytics",31121,EdX
"UMD, USMx: Agile Leadership Principles and Practices",2,4.8,"Project Management Professional Certification, Agile Leadership, Decision Making, Auditing, Creativity, Scrum (Software Development), Communications, Leadership, Empowerment, Certified Scrum Master, PMI Agile Certified Practitioner, Emotional Intelligence, Command Controls, Leadership Styles, Agile Methodology, Learning Agility, Innovation, Project Management Institute (PMI) Methodology, Team Motivation",48881,EdX
HKPolyUx: Industry 4.0: How to Revolutionize your Business,0,3.9,"Big Data, Virtual Reality, Automation, Industry 4.0, Smart Manufacturing, Cloud Computing, Cyber-Physical Systems, Forecasting, Mechanization",35458,EdX
"UMD, USMx: Let’s Get Emotional:  Emotions & Emotional Intelligence!",0,4.3,"Leadership, Self-Awareness, Emotional Intelligence",8334,EdX
"UMD, USMx: Making Evidence-Based Strategic Decisions",0,4.671710515,"Robotic Process Automation, Decision Making, Strategic Decision-Making, Microsoft Power Platform, Artificial Intelligence, Data Infrastructure, Digital Transformation, Data Analysis, Scenario Planning",158784,EdX
UPValenciaX: Introduction to SQL and relational databases,0,4.671710515,"Data Extraction, Business Intelligence, Emulators, Relational Databases, SQL (Programming Language), International Standards, Business Software, Relational Database Management Systems",155130,EdX
"IBM: Building ETL and Data Pipelines with Bash, Airflow and Kafka",0,4.671710515,"Extract Transform Load (ETL), Data Pipeline, Workflows, Apache Kafka, Business Intelligence, Bash (Scripting Language), SQL (Programming Language), Workflow Management, Scripting, Shell Script, Relational Databases, Staging Area, Apache Airflow, Data Warehousing",6482,EdX
IBM: Data Analytics Basics for Everyone,0,4.4,"Extract Transform Load (ETL), Big Data, Data Lakes, Data Structures, Relational Databases, Data Analysis, Data Warehousing",145660,EdX
IBM: Data Engineering Capstone Project,0,4.671710515,"Apache Airflow, Python (Programming Language), Data Collection, Bash (Scripting Language), Data Warehousing, NoSQL, Business Intelligence, Machine Learning, Relational Databases, MySQL, Relational Database Management Systems, IBM DB2, Big Data, PostgreSQL, Data Engineering, SQL (Programming Language), Predictive Analytics, Apache Spark, MongoDB, Extract Transform Load (ETL)",147004,EdX
IBM: Data Warehousing and BI Analytics,1,4.5,"Business Intelligence Tools, Business Intelligence, Relational Databases, Star Schema, SQL (Programming Language), Data Warehouse Systems, Materialized View, Data Lakes, Dashboard, Snowflake Schema, Data Warehousing",148073,EdX
TsinghuaX: Leadership in a New Era: A Course at Tsinghua SEM by McKinsey | 麦肯锡“全球领导力”,1,4.671710515,"Operations, Corporate Finance, Leadership, Search Engine Marketing, Marketing",146884,EdX
ISCEA: Certified Forecaster and Demand Planner - CFDP - Certification Exam,0,4.671710515,"Machine Learning, Demand Management, Supply Chain Analysis, Collaborative Planning Forecasting And Replenishment (CPFR), Inventory Planning, Lean Manufacturing, New Product Development, Data Analysis, Demand Forecasting, Integrated Business Planning, Supply Chain Management, Demand Planning, Prioritization, Forecasting, Supply Chain, Strategic Planning, Sales Inventory And Operations Planning, Demand Sensing, Six Sigma Methodology",147179,EdX
DelftX: Digitalization of Intelligent and Integrated Energy Systems,0,4.671710515,"Digital Transformation, Computer Control Systems, Cyber Security, Artificial Intelligence, Blockchain, Integration, Electrical Systems, Electric Power Systems, Software Development, Scheduling, Computer Simulation, Innovation, Data Acquisition, Research, Control Systems, Power Distribution, Digital Twin, Operations, Machine Learning, Electric Vehicles, Willingness To Learn",154720,EdX
ISCEA: Improving Supply Chain Performance through Demand Planning,0,4.3,"Inventory Planning, Integrated Business Planning, Supply Chain Management, Demand Planning, Decision Making, Collaborative Planning Forecasting And Replenishment (CPFR), Leadership, Planning, Supply Chain, Sales Inventory And Operations Planning",154325,EdX
"UMD, USMx: Data Science and Agile Systems for Product Management",1,4.6,"Data Management, Fault Tolerance, Self Service Technologies, DevOps, Operations, Design And Technology, Modularity, Agile Methodology, Automation, Data Science, Data Collection, Influencing Skills, Product Management",14118,EdX
RWTHx: Basics of Data Science,1,4.671710515,can start this course,153056,EdX
FedericaX: Economia e gestione delle imprese,0,4.671710515,"Corporate Finance, Management, Economics, Human Resource Management, Commercial Management, Business Modeling, Inventory Management, Discounted Cash Flow, Break-Even Analysis, Business Strategies, Potential Analysis, Rate Of Return, Strategic Analysis, Leadership, Business Planning, Management Control, Business Case, Operations, Financial Planning, Procurement, Ratios Analysis, Marketing, Operations Management, Performance Appraisal, SWOT Analysis, Leadership Styles, Motivational Leadership, Motivational Skills, Planning, Decision Making, Investments, Artificial Intelligence",159306,EdX
WageningenX: Economics and Policies in a Biobased Economy,2,4.671710515,"Forestry, Biology, Sustainable Business, Chemistry, Marketing, Economics, Agriculture, Supply Chain, Decision Making",6047,EdX
WageningenX: Business Strategy and Operations in a Biobased Economy,2,4.671710515,"Quantitative Research, Cost Reduction, Sustainable Business, Value Creation, Supply Chain, Decision Support Systems, Business Strategies, Operations, Business Modeling, Economics, Economy, Planning, Strategic Management, Supply Chain Management, Decision Making",5766,EdX
WageningenX: From Fossil Resources to Biomass: A Chemistry Perspective,2,4.671710515,"Operations, Economics, Business Strategies, Decision Making, Biorefinery, Chemistry, Biology, Policy Development",8101,EdX
WageningenX: Circular Economy: An Interdisciplinary Approach,2,4.8,"Life Cycle Assessment, Linear Model, Agent-Based Model, Business Strategies, Life-Cycle Assessment, Operations, Economics, Emerging Technologies, Supply Chain, Systems Thinking",18931,EdX
WageningenX: Capstone Business and Operations for a Circular Bio-Economy,2,4.671710515,"Research Methodologies, Operations, Business Strategies",148240,EdX
ASUx: States and Markets in the Global Economy,1,4.671710515,"Economy, Management, International Finance, International Business, Economic Development, International Trade",142694,EdX
LinuxFoundationX: Hyperledger Sawtooth for Application Developers,1,4.671710515,"Hyperledger, Distributed Ledgers, Business Logic, Front End Design, Business Operations, Supply Chain, Blockchain, Smart Contracts, RESTful API",159141,EdX
"ImperialBusinessX, ImperialX: Finance Essentials",0,4.2,"Capital Budgeting, Equities, Capital Asset Pricing Models, Master Of Business Administration (MBA), Management, Access Network, Finance, Intertemporal Portfolio Choice, Rate Of Return",152790,EdX
TokyoTechX: Introduction to Business Architecture,0,4.671710515,"Industrial Engineering, Business Operations, Scientific Management, Business Architecture",156634,EdX
State-Bank-of-India: Engagement Banking,0,4.671710515,"Banking, Business Operations, Finance",151084,EdX
GoogleCloud: Modernizing Data Lakes and Data Warehouses with Google Cloud,0,4.671710515,"Data Warehousing, Big Data, Warehousing, Google Cloud, Database Administration, Data Lakes, Data Analysis, Data Engineering, Business Operations, Data Pipeline",151379,EdX
DoaneX: Sustainable Agribusiness Comprehensive Exam,1,4.671710515,"Master Of Business Administration (MBA), Sustainable Agriculture, Agriculture",141619,EdX
DoaneX: Agri-Food Systems Analysis,1,4.671710515,"Sustainable Development, Systems Analysis, Supply Chain, Sustainability, Legal Depositions, Agriculture",146204,EdX
IIMBx: Operations Management,1,4.4,"Operations, Operations Management, Business Operations, Supply Chain, Lean Manufacturing, Productivity Improvement, Quality Assurance",169340,EdX
IBM: Analyzing Data with Excel,0,4.4,"Microsoft Excel, Pivot Tables And Charts, Google Sheets, Web Browsers, Data Analysis, Spreadsheets, Data Science, Data Wrangling, Business Marketing, Data Cleansing",200330,EdX
HKPolyUx: Innovation and Technology Management in Tourism and Hospitality,1,4.671710515,"Infrastructure, Tourism, Communications, Innovation, Business Modeling, Technical Management, Marketing, Hospitality",18323,EdX
GalileoX: Google Ads: publicidad efectiva,0,4.671710515,"Google Analytics, Web Portals, Google Ads, Digital Marketing, Marketing, Advertisement, Digital Advertising, Sales",21623,EdX
JaverianaX: Transforma tu negocio de turismo con experiencias digitales innovadoras,0,4.671710515,"Customer Service, Go-to-Market Strategy, Service Design, Ecosystem Science, Customer Experience, Technology Ecosystems, Digital Marketing, Innovation, Business Modeling, User Experience, Marketing, Communications, Value Propositions, User Interface, Persona (User Experience), Tourism",158452,EdX
DavidsonX: Analyzing and Visualizing Data with Power BI,0,4.4,"Power BI, Data Visualization, Business Analytics, Infographics, Data Analysis, Microsoft 365, Virtual Machines, Report Writing",140786,EdX
Machine Learning Specialization,2,4.9,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, ",10438,Coursera
Introduction to Data Science Specialization,1,4.7,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ",11927,Coursera
Data Science Fundamentals with Python and SQL Specialization,1,4.6,"Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, ",2295,Coursera
Deep Learning Specialization,0,4.9,"Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, ",129253,Coursera
Data Analysis and Visualization Foundations Specialization,1,4.8,"Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ",2171,Coursera
Applied Data Science Specialization,0,4.6,"Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, ",7175,Coursera
Data Engineering Foundations Specialization,2,4.7,"Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, ",922,Coursera
IT Fundamentals for Cybersecurity Specialization,0,4.6,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, ",4996,Coursera
Applied Software Engineering Fundamentals Specialization,2,4.7,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ",201,Coursera
"DevOps, Cloud, and Agile Foundations Specialization",0,4.8,"Cloud Native, Devops, Scrum, Cloud Computing, agile, Test-Driven Development, CI/CD, Behavior-Driven Development, Iaas PaaS Saas, Hybrid Multicloud, Agile Software Development, Scrum Methodology, ",625,Coursera
Cloud Application Development Foundations Specialization,0,4.5,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ",342,Coursera
Python for Everybody Specialization,0,4.8,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ",202757,Coursera
Information Technology (IT) and Cloud Fundamentals Specialization,2,4.8,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ",278,Coursera
"BI Foundations with SQL, ETL and Data Warehousing Specialization",2,4.6,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ",210,Coursera
Natural Language Processing Specialization,0,4.6,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ",4787,Coursera
Meta React Native Specialization,2,4.8,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ",564,Coursera
Mathematics for Machine Learning and Data Science Specialization,1,4.5,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ",369,Coursera
AI Foundations for Everyone Specialization,0,4.7,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ",2218,Coursera
Machine Learning Engineering for Production (MLOps) Specialization,1,4.7,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ",2780,Coursera
Learn SQL Basics for Data Science Specialization,0,4.5,"Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ",8649,Coursera
Digital Product Management Specialization,2,4.8,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ",2681,Coursera
Security Analyst Fundamentals Specialization,0,4.8,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ",749,Coursera
Improve Your English Communication Skills Specialization,2,4.8,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ",15297,Coursera
Data Science Specialization,0,4.5,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",38510,Coursera
AI Product Management Specialization,0,4.7,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ",165,Coursera
Introduction to Programming with Python and Java Specialization,2,4.4,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ",960,Coursera
IBM Introduction to Machine Learning Specialization,0,4.7,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ",251,Coursera
AWS Fundamentals Specialization,2,4.6,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, ",10966,Coursera
Data Science: Foundations using R Specialization,1,4.6,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",5839,Coursera
Python 3 Programming Specialization,1,4.7,"Json, Computer Programming, Python Programming, Sorting, ",15871,Coursera
Reinforcement Learning Specialization,0,4.8,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, ",2965,Coursera
Accelerated Computer Science Fundamentals Specialization,0,4.7,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), ",2340,Coursera
DevOps on AWS Specialization,0,4.7,"Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud, ",811,Coursera
Generative Adversarial Networks (GANs) Specialization,2,4.7,"Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs, ",1902,Coursera
Certified in Cybersecurity Specialization,0,4.6,"Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, ",114,Coursera
Applied Data Science with Python Specialization,0,4.5,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), ",25522,Coursera
Achieving Personal and Professional Success Specialization,1,4.7,"goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception, ",2296,Coursera
"TESOL Certificate, Part 1: Teach English Now! Specialization",0,4.9,"Education, Online Learning, ",9201,Coursera
UI / UX Design Specialization,0,4.7,"Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX), User Research, Graphic Design, Adobe XD, Adobe Illustrator, InVision, Marvel, Adobe Indesign, Treejack, ",6349,Coursera
